ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
CO283FIRE,CO283FIRE,Y,Public Buildings,Human Services,100 Centre Street Fire Alarm Upgrade,"Installation of a new fire alarm system for 100 Centre Street which will include new data gathering panels at various floors and all other necessary conduit, wires, speakers, strobes, combos, etc to make a new system. Old system will be removed. Components will also involve the DA wing and the Department of Corrections.",Installation of a new fire alarm system for various floors of 100 Centre Street.  The scope includes the DA wing and the Department of Corrections.,,,DCAS,Substantial Completion,Upgrade,Standard,Standard Consultant,DDC Managed,PIMS,FALSE,,,,,DDC
HWQC063H,HWQC063H ,N,Infrastructure,Bronx & N. Queens,23rd Ave Center Mall,,,Queens,,Trans. & Env. Protection,Cancelled Project,Street Reconstruction,,,,,,,,2020,,DDC
CO284EXT2,CO284EXT2,Y,Public Buildings,COURTS,111 CENTRE ST.- EXTERIOR,"Bulkhead restoration:  Structural steel repair, replace façade bricks, coping stones, lintels, louvers, roof flashing,","Bulkhead restoration:  Structural steel repair, replace façade bricks, coping stones, lintels, louvers, roof flashing",Unknown,,DCAS,Construction 0-25%,Renovation,Standard,DCAS,Individual Contract(s),PIMS,FALSE,,,,,DDC
CO285FIRE,CO300ELV2,Y,Public Buildings,COURTS,Family Crthouse:60 Lafayette St NY.FireAlarmUpgrad,Upgrade of the Fire Alarm system,,Queens,,DCAS,On-Hold,Upgrade,Standard,,,PIMS,FALSE,,,,,DDC
CO290BCHJ,CO290BCHJ,Y,Public Buildings,COURTS,BCHJ-Post Construction Work,"Remediation work at the Bronx County Hall of Justice as indicated in the Project Objectives, Exhibit C.  Work includes HVAC, roof leaks, glass breakage, intumescent paint, plumbing and audio/visual.","Remediation work at the Bronx County Hall of Justice. Scope of work includes installing a new door into the mechanical room at the Jury Assembly room, replacement of intumescent paint at the structural steel members supporting stairs A & B, replacement of the Jury Assembly building roof over the interior ramped corridor & waterproofing of the exterior public space plaza that is over the underground garage. The audio visual component addresses various problems with equipment in the courtrooms. Sections of HVAC duct in the underground garage are being replaced due to damage from the plaza leaks above. Replacement of approximately 15 lineal feet of underground storm drain line / pipe including a new manhole and link seal at the cellar wall. Replacement of approximately 100 lineal feet of undersized sewer line at the cellar level. Increasing the size of undersized plumbing vent lines at various locations. Installation of chilled and hot water balancing valves for heating and cooling equipment.",Bronx,,DCAS,Construction 25-50%,Other,Standard,Standard Consultant,CM-Managed,PIMS,FALSE,,,2017,,DDC
CO294BOIL,CO294BOIL,Y,Public Buildings,COURTS,Bronx Courthouse:215 East 161st:Boiler Replacement,BOILER REPLACEMENT AT BRONX FAMILY COURT,This project is to replace aging and inefficient boilers with new efficient dual gas/oil fired boilers.  It includes selective demolition of the existing boilers and installation of new dual fuel boilers and all auxiliaries along with all associated electrical and GC work.,Bronx,,DCAS,On-Hold,Renovation,Standard,,,PIMS,FALSE,,,,,DDC
CO294ELEC,CO294ELEC,Y,Public Buildings,Human Services,215 E. 161st Street-Electrical Upgrade,"The Electric Upgrade consists of new distribution system, new generator, and new 4,000 amp power.
The building was built in 1975 with not enough electrical circuit capacity for today's usage.",Install a new electrical distribution system and new emergency generator.,,,DCAS,Acceptance/Final Completion,Upgrade,Standard,Standard Consultant,DDC Managed,PIMS,FALSE,,,,,DDC
CO294LL,CO294LL,Y,Public Buildings,Courts,Bronx Family Court Exterior Rehab.,The project consists of rehabilitating the façade to conform with the City's façade ordinance Local Law 11 by addressing any conditions identified in the Seventh Cycle report as requiring rehabilitation and replacement including existing building low-sloped roofing assemblies.,The project consists of repairing the façade to conform with the City's façade ordinance Local Law 11 by addressing any conditions identified in the Seventh Cycle report as requiring repair and replacement including existing building low-sloped roofing assemblies.,Bronx,,DCAS,On-Hold,Renovation,Standard,Requirement Contract,,PIMS,FALSE,,,,,DDC
CO296ELEC,CO296ELEC,Y,Public Buildings,COURTS,ELECTRICAL AND FIRE UPGRADE CRIMINAL COURTHOUSE,Upgrade of the Electrical and Fire Alarm systems at Queens Criminal Court,Upgrade of the Electrical and Fire Alarm systems at Queens Criminal Court,Queens,,DCAS,Pre-Design/PrgDevelopment,Upgrade,Standard,Requirement Contract,CM-Build,PIMS,FALSE,,,,,DDC
CO290BCHJ-2,CO290BCHJ,Y,Public Buildings,COURTS,BRONX HALL OF JUSTICE POST CONSTRUCTION,"BRONX HALL OF JUSTICE POST CONSTRUCTION BID PACKAGE 2-
HVAC AIRFLOW ISSUES
This scope includes the installation of a new transfer air fan and associated ductwork with sound attenuation on the inlet and outlet of a fan serving the Judge’s Lounge located at the 7th Floor.  New transfer air ducts are being installed on floors 2, 7 & 8 to assist in the proper function of the return air system. Additional fan coil units are being installed to serve several rooms on the 8th floor & the 7th floor elevator lobby.

ENGINATOR EXHAUST HEAT
This scope involves a means of venting excessive heat that builds up in a shaft way that houses the enginator exhaust pipe that begins in lower level 2 up and out through the roof of the building. The heat emanates through the shaft way walls into the building.  This will be accomplished by installing a new exhaust fan and a makeup air fan that pumps outside air into the shaft way.

CURTAINWALL SHADOW BOX HEAT TRANSFER
Original design created conditions where curtain wall mullions heated to temperatures in excess of 110 F. This scope of works involves installing new metal stud with sheetrock finishes over interior curtain wall mullions. Affected locations are portions of the 2nd floor east side exposure.

WATER PENETRATION THROUGH UNDERGROUND CONDUITS
An existing underground conduit experienced water infiltration which caused those conductors to fail. Those conductors are going to be removed and the conduit abandoned. A new above ground path has been designed for the new feeder.

INTERIOR GLASS REPLACEMENT
Replace 4 sections of glazing at Stair A and 1 section at Stair B.

CONDENSER WATER SYSTEM WITH THREE ROOF TOP DRY COOLERS
Furnish and install a complete new A/C condenser cooling glycol system that includes roof top dry coolers and associated piping. This new system will serve chilled water A/C units in IT closets and elevator machine rooms throughout the building.","HVAC AIRFLOW ISSUES
This scope includes the installation of a new transfer air fan and associated ductwork with sound attenuation on the inlet and outlet of a fan serving the Judge’s Lounge located at the 7th Floor.  New transfer air ducts are being installed on floors 2, 7 & 8 to assist in the proper function of the return air system. Additional fan coil units are being installed to serve several rooms on the 8th floor & the 7th floor elevator lobby.

ENGINATOR EXHAUST HEAT
This scope involves a means of venting excessive heat that builds up in a shaft way that houses the enginator exhaust pipe that begins in lower level 2 up and out through the roof of the building. The heat emanates through the shaft way walls into the building.  This will be accomplished by installing a new exhaust fan and a makeup air fan that pumps outside air into the shaft way.

CURTAINWALL SHADOW BOX HEAT TRANSFER
Original design created conditions where curtain wall mullions heated to temperatures in excess of 110 F. This scope of works involves installing new metal stud with sheetrock finishes over interior curtain wall mullions. Affected locations are portions of the 2nd floor east side exposure.

WATER PENETRATION THROUGH UNDERGROUND CONDUITS
An existing underground conduit experienced water infiltration which caused those conductors to fail. Those conductors are going to be removed and the conduit abandoned. A new above ground path has been designed for the new feeder.

INTERIOR GLASS REPLACEMENT
Replace 4 sections of glazing at Stair A and 1 section at Stair B.

CONDENSER WATER SYSTEM WITH THREE ROOF TOP DRY COOLERS
Furnish and install a complete new A/C condenser cooling glycol system that includes roof top dry coolers and associated piping. This new system will serve chilled water A/C units in IT closets and elevator machine rooms throughout the building.

REMOVAL OF EXCESS HEAT FROM COURTROOM AV CLOSETS
This scope of work involve installing fans in the ceilings of all the audio visual closets to vent out heated air from all the equipment inside the closet on floors 3-6.  New hollow metal doors with louvers will also be installed.",Bronx,,DCAS,Construction 0-25%,Other,,Standard Consultant,CM-Managed,PIMS,FALSE,,,2018,,DDC
CO293BOIL,CO293BOIL,Y,Public Buildings,COURTS,Bronx Courthouse:851 Grand Concourse Boiler Downsi,Boiler Replacement at Bronx County Courthouse,Boiler replacement/re-tubing at Bronx County Courthouse.,Bronx,,DCAS,On-Hold,Renovation,Standard,,,PIMS,FALSE,,,,,DDC
CO293ELEC,CO293ELEC,Y,Public Buildings,Human Services,851 GRAND CONCOURSE ELECTRICAL UPGRADE,"The electrical upgrade consists of New Generator New Distribution System.
November 1, 2012 (910 calendar days). Revised to November 1, 2013
(1276 calendar days) Revised to October 31, 2014 (1640 Calendar
Days)","Install a new emergency generator and new distribution system.
",,,DCAS,Acceptance/Final Completion,Upgrade,Standard,Standard Consultant,DDC Managed,PIMS,FALSE,,,,,DDC
CO293SP,CO293SP,Y,Public Buildings,COURTS,Supreme Courthouse Fire Alarm/ Protection Upgrade,"Provide new addressable non-proprietary Fire Detection & Alarm system in full compliance with the 2008/2014 fire code, Local Law 5, Local Law 26 and all codes related to fire and life safety in the City of New York; provide new sprinkler system prior to 2019 as mandated by Local Law 26.
The project is necessary to replace the existing Edwards EST3 Fire Alarm system (originally installed in 1992 - beyond the life expectancy) in over 70-years old Landmark in full compliance with all latest applicable codes and regulations & provide new sprinkler system prior to 2019 as mandated by Local Law 26",Replaced the beyond life expectancy and existing 1992 Edwards EST3 fire alarm system and install a new sprinkler system prior to 2019 as mandated by Local Law 26 and in compliance with the 2008/2014 fire code and Local Law 5.,Bronx,,DCAS,Pre-Design/PrgDevelopment,Upgrade,Standard,Requirement Contract,CM-Managed,PIMS,FALSE,,,,,DDC
CO296EX7B,CO296EX7B,Y,Public Buildings,COURTS,FACADE RESTORE/REHAB QUEENS CRIMINAL COURTHOUSE,"This project is being done to eliminate the unsafe conditions per facade
inspection report cycle 7 and to enable DCAS remove sidewalk shed
already in place for more than 5 years.

The law requires owners of buildings 6 stories and higher to have their
building's exterior walls and elements inspected once every 5 years in to
make the necessary repairs to make them safe. No pre-preliminary phase is
needed",,Queens,,DCAS,,Renovation,Critical,,,PIMS,FALSE,,,,,DDC
CO296EXT7,CO296EXT7,Y,Public Buildings,Courts,"QueensCriminal Court:125-01 Queens Blvd, Facade","Exterior façade rehabilitation and renovation.

Renovation to the building façade exterior at the Queens Criminal Courthouse. The project consists of façade restoration and repairing the building façade in compliance with Local Law 11/98; façade inspection safety program. The project is being done to eliminate constant leaks throughout the interior of the building, which also requires restoring the deteriorated seals around the building. The project includes repairs/replacement of façade stones, coping stones, roofing, flashing, installation of missing parapet railing, re-caulking of coping stones, etc.
The law requires owners of buildings 6 stories and higher to have their building's exterior walls and elements inspected once every 5 years and make necessary repairs to make them safe.
The restoration consists of the entire building. However, our client, DCAS, has requested to restore unsafe conditions at the Queens District Attorney's building façade as Phase I of the project.","Exterior façade rehabilitation and renovation.

Renovation to the building façade exterior at the Queens Criminal Courthouse. The project consists of façade restoration and repairing the building façade in compliance with Local Law 11/98; façade inspection safety program. The project is being done to eliminate constant leaks throughout the interior of the building, which also requires restoring the deteriorated seals around the building. The project includes repairs/replacement of façade stones, coping stones, roofing, flashing, installation of missing parapet railing, re-caulking of coping stones, etc.
The law requires owners of buildings 6 stories and higher to have their building's exterior walls and elements inspected once every 5 years and make necessary repairs to make them safe.
The restoration consists of the entire building. However, our client, DCAS, has requested to restore unsafe conditions at the Queens District Attorney's building façade as Phase I of the project.",Queens,,DCAS,Schematic Design,Renovation,Critical,Requirements TO,DDC Managed,PIMS,FALSE,,2017,2017,,DDC
CO299EXTR,CO299EXTR,Y,Public Buildings,COURTS,Queens Civil Court Plaza/Sidewalk Reconstruction,Renovation of the building envelope,,Queens,,Corrections,Pre-Design/PrgDevelopment,Renovation,Standard,,,PIMS,FALSE,,,,,DDC
CO299FIRE,CO299FIRE,Y,Public Buildings,COURTS,"Civil Courthouse:89-17 Sutphin BLVD,NY.FireAlarmUp",89-17 Sutphin Blvd  Fire alarm replacement,,Queens,,DCAS,On-Hold,Upgrade,Standard,,,PIMS,FALSE,,,,,DDC
